Person ID,Name,DOB,Fame,Comedic Timing,Dramatic Gravitas,Physicality,Creative Vision,Talent Management,Network Diplomacy
PERS_283712,James Pickens Jr.,1954-10-26,50,40,92,65,45,92,88
PERS_829374,James Spader,1960-02-07,77,86,94,60,58,85,82
PERS_374812,Jane Krakowski,1968-10-11,60,92,70,88,55,85,82
PERS_596823,Jason Katims,1960-11-30,75,42,86,15,89,92,90
PERS_192856,Jason Segel,1980-01-18,69,92,70,82,65,88,84
PERS_748239,Jason Sudeikis,1975-09-18,48,92,72,78,78,90,92
PERS_203956,Jay Leno,1950-04-28,98,89,65,60,45,82,94
PERS_657394,Jean Smart,1951-09-13,75,88,90,65,45,90,82
PERS_384912,Jeff Probst,1961-11-04,80,81,86,92,81,85,88
PERS_928356,Jenna Fischer,1974-03-07,68,86,78,60,40,90,85
PERS_475812,Jennifer Esposito,1973-04-11,60,75,78,65,38,78,72
PERS_182945,Jennifer Love Hewitt,1979-02-21,81,44,68,75,32,78,70
PERS_574862,Jennifer Morrison,1979-04-12,58,45,85,65,40,84,80
PERS_839471,Jerry Springer,1944-02-13,86,82,40,85,75,80,75
PERS_293812,Jill Wagner,1979-01-13,28,78,65,88,55,85,82
PERS_637412,Jim Parsons,1973-03-24,48,96,65,60,55,90,92
PERS_102856,Jimmy Kimmel,1967-11-13,79,91,65,70,72,82,84
PERS_584792,Joe Mantegna,1947-11-13,71,40,92,60,45,92,88
PERS_938412,John Anderson,1965-05-13,25,85,80,85,58,88,86
PERS_374892,John Francis Daley,1985-07-20,35,80,75,70,45,90,88
PERS_748212,John Henson,1967-07-11,35,88,55,94,60,82,80
PERS_203923,John Krasinski,1979-10-20,72,88,78,75,45,90,88
PERS_596812,John Madden,1936-04-10,92,78,75,98,65,90,82
PERS_172845,John Noble,1948-08-20,15,75,91,68,55,94,88
PERS_948562,John Quiñones,1952-05-23,65,42,84,45,62,85,82
PERS_657312,John Stamos,1963-08-19,83,70,80,75,45,82,80
PERS_102847,John Stossel,1947-03-06,75,40,80,45,55,75,70
PERS_283756,John Wells,1956-05-28,85,45,88,15,90,92,98
PERS_819234,Johnny Galecki,1975-04-30,55,90,78,65,45,92,88
PERS_493812,Jon Cryer,1965-04-16,75,93,68,65,45,92,88
PERS_928394,Jorge Garcia,1973-04-28,60,78,75,65,40,88,82
PERS_448291,Josh Friedman,1967-02-14,25,40,82,15,82,80,82
PERS_364712,Josh Holloway,1969-07-20,74,65,82,85,35,78,70
PERS_192847,Josh Mankiewicz,1955-08-27,45,42,86,55,58,86,85
PERS_829356,Josh Radnor,1974-07-29,50,85,80,62,45,85,82
PERS_192874,Josh Schwartz,1976-08-06,80,75,80,20,82,82,84
PERS_637456,Joshua Gomez,1975-11-20,25,85,72,82,45,90,88
PERS_273812,Joshua Jackson,1978-06-11,70,65,78,75,42,86,78
PERS_584945,Joy Behar,1942-10-07,72,89,65,60,50,78,75
PERS_938492,Judah Friedlander,1969-03-16,30,90,55,65,45,85,82
PERS_293857,Juju Chang,1965-09-17,55,25,86,35,58,90,88
PERS_475845,Julie Chen,1970-01-06,68,78,80,60,65,84,90
PERS_102812,Julie Kavner,1950-09-07,65,96,58,30,55,92,88
PERS_574812,Justin Chambers,1970-07-11,65,40,82,72,35,75,70
PERS_839423,Kal Penn,1977-04-23,52,75,82,68,50,86,82
PERS_293892,Kaley Cuoco,1985-11-30,53,92,70,75,40,88,90
PERS_647312,Kate Walsh,1967-10-13,76,65,82,68,40,85,82
PERS_182956,Katherine Heigl,1978-11-24,91,55,78,60,32,35,22
PERS_503945,Katie Couric,1957-01-07,95,68,85,62,60,75,88
PERS_912856,Keegan-Michael Key,1971-03-22,25,95,60,95,88,92,92
PERS_384791,Keith Morrison,1947-07-02,65,75,88,65,72,88,86
PERS_384792,Kenan Thompson,1978-05-10,58,93,55,75,65,94,92
PERS_736212,Kevin Eubanks,1957-11-15,65,85,60,65,35,90,88
PERS_203974,Kiefer Sutherland,1966-12-21,90,38,92,88,45,75,82
PERS_596892,Kristen Wiig,1973-08-22,55,96,60,92,85,90,92
PERS_172856,Kunal Nayyar,1981-04-30,22,90,55,65,45,88,88
PERS_657345,Kyle Chandler,1965-09-17,58,45,92,75,55,92,90
PERS_283719,Len Goodman,1944-04-25,60,60,80,75,65,85,82
PERS_829312,Lena Headey,1973-10-03,45,35,91,75,48,85,80
PERS_374845,Lesley Stahl,1941-12-16,83,22,94,20,65,88,90
PERS_203958,Lester Holt,1959-03-08,75,28,95,30,65,94,94
PERS_948512,Linda Cardellini,1975-06-25,61,55,85,60,45,90,82
PERS_493856,Lisa Edelstein,1966-05-21,59,59,88,65,45,88,84
PERS_102874,Lorne Michaels,1944-11-17,90,95,90,15,96,95,98
PERS_584756,Maggie Rodriguez,1969-12-12,45,35,82,62,45,85,82
PERS_339201,Marc Cherry,1962-03-23,70,70,82,15,87,45,82
PERS_928312,Marcia Cross,1962-03-25,85,64,82,60,40,72,78
PERS_364792,Marg Helgenberger,1958-11-16,74,30,88,55,38,88,85
PERS_748256,Mariska Hargitay,1964-01-23,86,35,93,68,45,92,88
PERS_293823,Mark Harmon,1951-09-02,84,42,92,65,50,94,90
PERS_637495,Martin Bashir,1963-01-19,55,22,88,25,62,65,60
PERS_192812,Mary Lynn Rajskub,1971-06-22,60,60,75,65,42,82,75
PERS_504956,Masi Oka,1974-12-27,65,78,70,65,45,88,80
PERS_839456,Matt Lauer,1957-12-30,93,65,82,58,40,72,84
PERS_273892,Matthew Fox,1966-07-14,82,38,88,80,35,72,70
PERS_657323,Matthew Gray Gubler,1980-03-09,40,75,78,72,55,90,88
PERS_102956,Maura Tierney,1965-02-03,73,45,88,58,40,88,84
PERS_482934,Max Weinberg,1951-04-13,62,88,65,70,45,85,84
PERS_938456,Mekhi Phifer,1974-12-29,69,40,88,78,38,85,82
PERS_374874,Melissa McCarthy,1970-08-26,45,88,75,94,65,92,92
PERS_596856,Meredith Vieira,1953-12-30,88,65,80,55,45,86,85
PERS_182974,Michael Emerson,1954-09-07,64,75,92,60,55,88,82
PERS_736234,Michael Weatherly,1968-07-08,67,78,75,84,42,82,84
PERS_203992,Mila Kunis,1983-08-14,72,90,65,65,40,85,82
PERS_574892,Milo Ventimiglia,1977-07-08,76,35,80,85,35,86,80
PERS_912892,Mindy Kaling,1979-06-24,38,92,70,68,85,82,88
PERS_384734,Minka Kelly,1980-06-24,46,38,78,78,32,82,75
PERS_829392,Morley Safer,1931-11-08,81,20,95,10,65,92,90
PERS_475895,Nancy Cartwright,1957-10-25,65,96,55,30,55,92,88
PERS_293834,Neal Baer,1955-12-15,70,40,88,15,85,85,88
PERS_647356,Neil Patrick Harris,1973-06-15,79,93,75,85,65,85,86
PERS_584745,Nicole Parker,1978-02-21,28,92,55,85,65,85,82
PERS_102892,Nicollette Sheridan,1963-11-21,80,70,72,75,30,40,35
PERS_928323,Omar Epps,1973-07-20,68,45,88,65,38,85,82
PERS_364734,Oscar Nunez,1958-11-18,25,90,65,72,45,92,88
PERS_748274,Paget Brewster,1969-03-10,45,40,88,65,42,90,88
PERS_283792,Parminder Nagra,1975-10-05,55,35,88,55,42,88,82
PERS_637434,Patrick Dempsey,1966-01-13,92,45,88,65,35,62,72
PERS_192892,Paul Guilfoyle,1949-04-28,55,30,88,55,38,90,85
PERS_503956,Paul Shaffer,1949-11-28,75,92,60,75,45,88,85
PERS_948523,Paula Abdul,1962-06-19,91,60,50,72,35,50,60
PERS_374834,Pauley Perrette,1969-03-27,60,75,70,72,45,92,88
PERS_839492,Phyllis Smith,1951-07-10,25,86,68,55,42,92,88
PERS_172892,Piers Morgan,1965-03-30,70,72,75,65,62,45,55
PERS_596834,Rainn Wilson,1966-01-20,75,93,75,82,45,82,75
PERS_203934,Randy Jackson,1956-06-23,85,65,60,55,35,80,75
PERS_482956,Ricardo Chavira,1971-09-01,45,60,85,65,42,84,80
PERS_928346,Richard Belzer,1944-08-04,68,88,85,60,45,85,80
PERS_182912,Rob Lowe,1964-03-17,86,85,82,70,45,84,82
PERS_657374,Robert Sean Leonard,1969-02-28,65,60,88,55,42,90,85
PERS_293815,Robin Roberts,1960-11-23,85,58,90,62,58,92,92
PERS_584912,Ryan Seacrest,1974-12-24,94,82,75,85,50,85,94
PERS_102823,Sally Field,1946-11-06,89,62,94,55,45,90,85
PERS_475874,Sam Champion,1961-08-13,55,65,75,78,55,88,88
PERS_829323,Samantha Harris,1973-11-27,45,72,70,75,48,85,82
PERS_384712,Sandra Oh,1971-07-20,80,72,90,70,50,88,82
PERS_748245,Sarah Lancaster,1980-02-12,40,60,75,65,38,88,82
PERS_273856,Sarah Wayne Callies,1977-06-01,55,35,85,68,38,85,78
PERS_504912,Scott Adsit,1965-11-26,35,86,65,68,45,92,88
PERS_938434,Scott Pelley,1957-07-28,68,22,92,25,65,88,90
PERS_192823,Sean Murray,1977-11-15,45,65,78,70,40,88,86
PERS_637474,Sendhil Ramamurthy,1974-05-17,55,40,82,82,35,86,78
PERS_364723,Seth Green,1974-02-08,75,94,55,78,85,85,86
PERS_819256,Seth MacFarlane,1973-10-26,82,94,45,25,94,65,95
PERS_574856,Seth Meyers,1973-12-28,60,92,68,55,82,90,92
PERS_283734,Shane Brennan,1957-02-21,75,45,84,15,84,88,86
PERS_948534,Sharon Osbourne,1952-10-09,81,70,65,75,55,62,78
PERS_172823,Shemar Moore,1970-04-20,69,35,84,95,35,82,80
PERS_778291,Shonda Rhimes,1970-01-13,75,60,90,15,92,65,88
PERS_883746,Silvio Horta,1974-08-14,50,50,85,15,85,80,82
PERS_300769,Simon Baker,1969-07-30,82,82,90,78,65,84,85
PERS_657356,Simon Cowell,1959-10-07,98,75,88,70,85,55,92
PERS_374895,Simon Helberg,1980-12-09,25,93,55,78,48,88,88
PERS_912812,Steve Carell,1962-08-16,90,96,84,94,70,92,88
PERS_482974,Steve Kroft,1945-08-22,79,22,94,15,60,86,85
PERS_839434,Summer Glau,1981-07-24,52,40,84,96,45,85,80
PERS_203912,T.J. Thyne,1975-03-07,35,80,72,65,42,86,82
PERS_596874,Tamara Taylor,1970-09-27,32,40,86,60,42,92,88
PERS_102843,Tamara Tunie,1959-03-14,40,35,90,60,42,92,90
PERS_736245,Taye Diggs,1971-01-02,75,48,88,75,38,84,80
PERS_384795,Taylor Kitsch,1981-04-08,44,35,85,90,35,78,75
PERS_647334,Teri Hatcher,1964-12-08,90,75,72,68,35,45,65
PERS_928325,Terry Moran,1959-12-09,60,22,88,20,60,88,86
PERS_182923,Terry O'Quinn,1952-07-15,68,42,90,75,45,88,82
PERS_503912,Thomas Dekker,1987-12-28,38,35,75,78,42,75,65
PERS_829384,Thomas Gibson,1962-07-03,65,35,90,70,40,68,65
PERS_293865,Tim Daly,1956-03-01,62,45,86,65,42,88,82
PERS_584765,Tim Kring,1957-07-09,75,35,82,15,75,62,65
PERS_938423,Tina Fey,1970-05-18,90,98,82,65,95,88,90
PERS_475856,Tom Bergeron,1955-05-06,79,86,84,82,55,92,90
PERS_192845,Tom Brokaw,1940-02-06,95,25,95,15,65,92,94
PERS_748223,Tracy Morgan,1968-11-10,74,92,45,88,35,55,45
PERS_283723,Vanessa Williams,1963-03-18,78,88,85,78,45,86,80
PERS_637498,Wentworth Miller,1972-06-02,77,30,85,88,32,82,75
PERS_948592,Whoopi Goldberg,1955-11-13,92,84,82,60,52,84,80
PERS_374823,Will Forte,1970-06-17,51,93,65,85,82,90,88
PERS_819212,William Petersen,1953-02-21,85,35,91,45,50,85,82
PERS_172812,William Shatner,1931-03-22,97,87,85,82,40,88,75
PERS_574845,Yeardley Smith,1964-07-03,50,90,55,25,45,92,88
PERS_364784,Yvonne Strahovski,1982-07-30,42,65,82,92,45,88,88
PERS_912823,Zach Gilford,1982-01-14,30,45,85,82,42,88,84
PERS_493834,Zachary Levi,1980-09-29,48,91,82,90,55,92,90
PERS_657334,Zachary Quinto,1977-06-02,68,40,85,82,48,86,78
